               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11688,            0.016592,            0.077741,            0.027397,                 0.6,            0.031005,           0.0092467,            0.072128,            0.012041,            0.048266,              0.0991,              0.0001,              0.0001
                   1,             0.12073,            0.016963,            0.082846,            0.027368,                0.65,            0.034385,           0.0095339,            0.071614,             0.01208,            0.047934,            0.097299,          0.00029941,          0.00029941
                   2,             0.10948,            0.016602,            0.079774,            0.030418,                 0.8,             0.04768,            0.013817,            0.070152,            0.012287,            0.047075,            0.095498,          0.00049802,          0.00049802
                   3,             0.11293,             0.01947,            0.073673,            0.034602,                   1,             0.20462,            0.037721,            0.068305,            0.012498,            0.045961,            0.093696,          0.00069584,          0.00069584
                   4,             0.10713,            0.023579,             0.07034,            0.033727,                   1,             0.33203,            0.073321,            0.066208,            0.012753,             0.04439,            0.091893,          0.00089287,          0.00089287
                   5,            0.098915,            0.020273,             0.06633,            0.031949,                   1,             0.73336,             0.15738,            0.063789,            0.013132,            0.042568,            0.090089,           0.0010891,           0.0010891
                   6,            0.095034,            0.022562,            0.061383,            0.030441,                   1,             0.51429,            0.098165,            0.061357,            0.013416,            0.040194,            0.088285,           0.0012846,           0.0012846
                   7,            0.091763,            0.018673,            0.062897,            0.027027,                   1,             0.36466,            0.069391,            0.058778,            0.013962,            0.038057,            0.086479,           0.0014792,           0.0014792
                   8,            0.089752,            0.024766,            0.053775,            0.026596,                   1,             0.28801,            0.064455,            0.058124,            0.014013,            0.036578,            0.084673,           0.0016731,           0.0016731
                   9,            0.085747,            0.025434,            0.050253,            0.025707,                   1,             0.41966,            0.092244,            0.055192,            0.014447,            0.034281,            0.082866,           0.0018661,           0.0018661
                  10,            0.083562,             0.02584,            0.045869,             0.40282,              0.5738,             0.40786,             0.10583,            0.052919,            0.014515,            0.031491,            0.081058,           0.0020584,           0.0020584
                  11,            0.067159,            0.022931,            0.037159,             0.45136,             0.32992,             0.58935,             0.13876,            0.048543,            0.014847,            0.027997,             0.07925,           0.0022499,           0.0022499
                  12,             0.07743,            0.024944,            0.037636,             0.75681,             0.46771,             0.76045,             0.20113,            0.045021,             0.01492,            0.024969,            0.077441,           0.0024406,           0.0024406
                  13,            0.083021,            0.025781,            0.036574,             0.61516,                 0.5,             0.70643,             0.15156,            0.045356,            0.014467,            0.021941,            0.075631,           0.0026305,           0.0026305
                  14,            0.070843,            0.025328,            0.029372,             0.57471,                 0.6,             0.64322,             0.15048,            0.046485,            0.013852,            0.018264,             0.07382,           0.0028196,           0.0028196
                  15,            0.064254,            0.021737,            0.024626,             0.57516,                 0.8,             0.74221,              0.1761,             0.04336,            0.013674,            0.015443,            0.072008,           0.0030079,           0.0030079
                  16,            0.076046,            0.020728,            0.029117,             0.67877,             0.84539,             0.78092,              0.2837,             0.04651,            0.012188,            0.013276,            0.070195,           0.0031955,           0.0031955
                  17,            0.066294,            0.026167,            0.018965,             0.53638,              0.9837,              0.6896,             0.28189,            0.041584,             0.01195,            0.011597,            0.068382,           0.0033822,           0.0033822
                  18,            0.072741,            0.025029,            0.019947,             0.42681,                 0.9,             0.41225,             0.10759,            0.048931,            0.011733,            0.010707,            0.066568,           0.0035681,           0.0035681
                  19,            0.071791,            0.020711,            0.015989,             0.40144,                0.95,             0.42807,             0.23183,            0.048261,             0.01077,            0.010067,            0.064753,           0.0037533,           0.0037533
